ID,Label,Text
W129,0,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter
W130,0,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it
W131,1,i clench to the corners of the bed to feel assured
W132,0,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it
W133,1,i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question
W134,0,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious
W135,0,i do not feel miserable at all because my family is not the type that celebrates eid
W136,1,i might go get a car wash if i am feeling really generous my car needs it
W137,0,i still feel sleep deprived she is almost sleeping through the night giving us
W138,0,i just feel really violent right now
W139,1,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we
W140,0,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be
W141,0,i feel disgusted to even be associated with this woman by my race and nationality
W142,0,i laughed then bitterly again but i wasnt feeling bitter
W143,0,i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever
W144,1,i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold
W145,0,i told him that maybe i just need time to think how ive been feeling indecisive about things lately
W146,1,i still feel it does the genre a disservice when stories are resolved artifically
W147,1,i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed
W148,0,i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off
W149,0,i could feel her whimper to the thought of being unloved and uncared for
W150,1,i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains
W151,0,i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love
W152,0,i feel strange coming back to work after my one day holiday
W153,0,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet
W154,0,i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls
W155,0,i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either
W156,0,i feel so sad and hopeless
W157,0,im getting the feeling that my classes are a little intimidated by the concept of a lit
W158,0,i still feel groggy but i have to get up to do the routine for my son
W159,1,i have a feeling my view isnt going to be very popular and thats fine
W160,0,when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures
W161,1,i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes
W162,0,i know there are days in which you feel distracted
W163,1,i use it regularly with relaxing music and always feel invigorated afterward
W164,0,im feeling distracted i tend to practice with my eyes shut as much as possible
W165,1,i feel like its perfect a w see youtube has its influences i even know trends
W166,0,i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol
W167,0,i also didn t feel very weird sleeping in my bed while the two of them slept in hers
W168,0,i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy
W169,1,ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now
W170,1,i hope to feel a bit more creative again soon and miss its presence in my life blog
W171,0,i am no fan of the current president i am a conservative and it made me feel unwelcome
W172,1,i begin to feel complacent with my life here
W173,0,i feel vulnerable and alone
W174,1,i remember feeling inspired and thinking that it was a fine example of parenting
W175,0,i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving
W176,1,i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same
W177,1,im there i simply feel contented
W178,1,im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone
W179,0,i think im just being stupid feeling nervous
W180,1,i feel honored by it
W181,1,i feel im like a bird flying in the air in a very carefree manner
W182,0,i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended
W183,0,i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me
W184,0,i died would alex and matt feel regretful for not coming to visit
W185,1,i feel that educating families and supporting and educationg mamas and papas is key
W186,0,im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling
W187,0,i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage
W188,1,i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly
W189,1,i feel like i talented young man i don t feel talented then i don t to work with
W190,1,i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy
W191,0,i feel now so uncomfortable with all of them i guess is me
W192,1,i feel pretty mellow so far about whatever healing wounding process may be getting underway
W193,0,i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances
W194,0,i legs would feel shitty for a few miles but would come around like they always do
W195,0,i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now
W196,1,i seriously feel so blessed for the support that i have at home it s amazing
W197,0,i feel abused and maligned but mostly tired of the nervous feeling anticipating danger
W198,0,i am feeling pretty restless right now while typing this
W199,1,i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water
W200,0,i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy
W201,0,i wrote last year when i was feeling more dull and inarticulate than normal
W202,0,id kick myself into gear but i just feel irritable with no motivation what so ever
W203,1,i feel as a child innocent feelings illustrating a
W204,1,i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger
W205,0,i will start to feel resentful
W206,0,i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once
W207,0,i feel so fucked like everyday of my life
W208,1,ive worked really hard all year to try to make each child in the class feel like they are valued
W209,0,i am feeling disheartened with my words as of late
W210,0,i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off
W211,1,i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths
W212,1,i don t feel like eggs benedict i ll have something equally delicious
W213,1,im feeling my way through and trusting myself
W214,1,im feeling inspired by all the summery elements of my favorite past time beach bummin
W215,1,i can feel that she smiled i love you even more gorgeous
W216,0,i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam
W217,1,i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely
W218,1,i can t say i feel all that sympathetic
W219,1,i was feeling over eager and hopped on to the tube to ride the eye of london
W220,0,i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved
W221,0,i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again
W222,1,i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true
W223,0,im feeling cranky
W224,1,i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time
W225,1,i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser
W226,0,i feel stressed always
W227,0,i remember feeling another cramp but i also ignored it
W228,1,i hope i feel mellow well fed well slept at peace with myself within this external world
W229,0,i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom
W230,0,im feeling awful because we hung out with my friend and her new baby the day before
W231,1,i feel very relaxed and fine
W232,0,i feel the suffering and i really feel the pain
W233,1,i go to sleep i feel as if i m giving up precious time to do something else with my life
W234,1,i feel like i ve been neglecting my beloved mom blog
W235,1,i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx
W236,0,i just feel terrified like im on the edge of a precipice staring ahead
W237,0,i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time
W238,0,i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views
W239,0,i feel as if i was abused in some way
W240,0,im still paying attention but i feel distracted
W241,1,i started the third block feeling hot and cold and tingly all at the same time knowing that i still had five hours of examination ahead of me having no idea if any of it would do any good
W242,1,im hesitant to make suggestions because i feel as if the outcome would not be sincere
W243,1,i feel not too terribly fond of the majority at this precise time
W244,0,i can feel myself gaining control over the damaged goods aspects of my personal security
W245,1,i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic
W246,1,i think its kind of taken us this long to build up a good inventory of sauces oils spices and other non perishables to feel like we have a chance at making something delicious without having to specifically go out and buy every single item in a recipe
W247,1,i now feel i can advise other dads whose children will soon become teenagers it s not cool to pull up to your kid s high school to pick them up in a smelly jalopy with plants coming out the windows
W248,0,i feel victimized by the drag on our country with heads in the sand traditionalists i hesitate to call them conservatives for fear of offending real honest to god conservatives who still think the world was created years ago and that stuff like skeletal remains are some kind of hoax
W249,1,i would feel lucky to call any of the materials and kits on your site mine they are just beautifully curated
W250,0,i have been for my bloods which proved the reason i was feeling so lethargic and rubbish was that i am low on iron so i have now been prescribed iron tablets
W251,0,i have my own mind and i feel like my mind is dangerous to my life
W252,1,i feel like i love everyone or at least i am compassionate toward others
W253,0,i feel as if i should be punished for neglecting you
W254,1,i feel like it just doesnt capture the beauty of this lovely polish
W255,0,i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially
W256,0,i feel like i should just bite the bullet and do it but every time i think about it i feel stressed because im not fully supported on my decisions
W257,0,i know i have some obnoxiously immature sounding verbal tics and my voice is kind of nasal and i don t always come across like the sharpest tool in the shed especially when i m feeling awkward but there s knowing and there s knowing you know
W258,0,id just had a terrible nightmare and was feeling a little disturbed
W259,0,i didnt want to walk passed there just in case the customers feel disturbed
W260,0,i want other sufferers to be able to find me in the hope that my battle can help them to feel that they are not alone
W261,0,i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good
W262,1,i am so festive this feels so delicious wheeeeee what a great night
W263,0,i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain
W264,0,im sick of feeling crappy
W265,1,i feel like i almost convinced myself this is going to be the pattern
W266,1,i also wear them when im wearing a dress that makes me feel slutty feels like those antique underwears but obviously a little bit more edgy or maybe a little bit more than a little bit
W267,0,i feel a perverse pride in my self control that i managed to stay where i was ordered and not reach for the tempting human flesh so close before us
W268,0,i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days
W269,0,i was positively giddy when the kids left this morning after our very last official class of the year but now im feeling a little sad
W270,1,i feel supportive of him i also cant help but feel jealous
W271,1,i mainly like to text because i feel like i am so much more clever with the written word rather than the spoken
W272,1,i seriouly feel i am not being respected i dont have my privacy i am being ordered around
W273,1,i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality
W274,0,i personalities that can feel pain and suffering
W275,1,i guess i would feel more like joseph with walt trusting me to care for mother and over the finances which he did six months before he died there are times i want to defend my self but god makes me be quiet
W276,0,i was warming up starting feeling a little lethargic
W277,1,i feel excelent but sometimes theres just nothing to do especially since im not really keen on video games anymore i watch a bit of anime and some movies but theres just got to be more in my life
W278,1,i wonder if this is what master is feeling i am r wanting and eager to please and i am master who could very much enjoy his my attentions but won t because it is wrong as i he has no desire to return his my affections
W279,1,im feeling a little bit more positive now as things were quite hard at first as my savings were eaten up quickly with costs and i didnt want to become a burden to my boyfriend but weve come out the other end and im feeling brighter and more inspired about things to come
W280,0,im just feeling rather sentimental right now and just have to say i feel so lucky to be maxs mom
W281,0,i make myself show up and feel isolated in the crowd ill know i was wrong about the anti social feeling
W282,0,ive learned how to turn off all my emotions more and more and i often find myself feeling completely blank while my mother is crying continuously over my suicidalness
W283,1,i feel loyal to style
W284,0,i can understand that you may feel youd rather not do your bit for the vulnerable and homeless in london in that precise way
W285,0,i can finally stop feeling listless and like a waste of space
W286,0,i know im feeling agitated as it is from a side effect of the too high dose
W287,1,i do feel a shift in me to being more positive
W288,1,i am feeling brave enough
W289,0,fear of thief
W290,1,i feel clever nov
W291,0,i always spend more money there than i mean to and feel dissatisfied when i exit the store
W292,0,im feeling really quite angry
W293,1,i feel kerry didnt do by supporting civil unions and gay equality
W294,0,i feel really ashamed
W295,1,i finally left feeling judged and ridiculed because i am intelligent
W296,0,i is starting to feel a bit insulted by this stranger
W297,0,i have many days where i feel hopeless today the light at the end of my yellow brick road was shining just a little brighter
W298,0,i actually feel sorrowful
W299,0,i see women wearing boots i feel envious that i want to curse them
W300,1,i will feel what i feel and tell you and together we will apologize and make up and keep loving each other to bits and bits
W301,0,i began to feel each of my senses dull until the cold black unconsciousness over came me
W302,1,i suspect feel less than fond in private
W303,1,i was so honoured that this young woman felt comfortable enough to ask me i had kind of a faux hawk thing going on back then so i must have looked dykey enough for her to feel safe talking to me
W304,0,i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented
W305,1,i feel convinced plus so many diverse price tags that i feel sure everyone should come up with the funds to have their plot to be lighted up relatively economically
W306,0,i feel empty when the baby isnt there
W307,0,i stopped feeling so exhausted a href http provokingbeauty
W308,1,im feeling font friendly
W309,1,i had my hand on my beads consciously breathing consciously working to feel calm about my list of things to accomplish that afternoon
W310,0,i always feel intimidated by other people especially when they always compare me to other people ever since i was young
W311,0,i be made to feel rotten
W312,0,i started feeling hostile and i am checking my hemorrhoids
W313,1,i love wearing new shoes i just feel so glamourous and when i get a pair of designer shoes i love the box and all the trimmings that come with them
W314,1,i know about have to do largely with the fact that any feelings romantic or sexual i have successfully hidden from myself
W315,1,i just love the feeling of something warmly hugging you and feeling so precious and small precious to someone something
W316,1,im feeling far more mellow than normal
W317,1,i became more dismayed as i studied what people were wearing and started feeling like though some of the outfits were gorgeous they were bought that way
W318,1,i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave
W319,1,im feeling lucky width li style border px list style outside margin px px
W320,1,i recall those high school feelings and the longing with which i watched the olympic runners i feel st
W321,1,i woke up feeling confident and watched the bodypump dvd to gather some coaching tips and compulsory cues
W322,0,i didnt say was that strong feelings always make me skeptical at first
W323,0,i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up
W324,1,i am beginning to feel that theres a good chance i might pass
W325,1,i feel like i have a little more control and can help sweet pea better if i know what is ahead
W326,0,i feel like i m on the receiving end of a violent attack
W327,1,i feel it is worthwhile to document it for people who are not familiar with batch files
W328,1,i and i are feeling especially thankful for so many small blessings in our life right now
W329,1,i am hoping the weatherman is right with his forecast of stay at home dont venture out rain for tomorrow i am feeling all kind of creative
W330,0,i feel like im just on the edge in this microcosm one more awkward moment or missed party and id be on the outside
W331,1,i have learnt nothing else in the last two years it is that it s best to feel my way by trusting my instincts
W332,1,i am feeling is also a blossoming eager anxiety
W333,0,i feel burdened to share it
W334,1,im not feeling the outfit but the heels are gorgeous
W335,0,i feel confused after that
W336,1,i feel that the session was useful and gave me tools i need to move forward in my life
W337,0,i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies
W338,1,i took away all the disappointed feeling all the paining i gave my heart to be heal by lord because he s the only one love who never betrayed never lose loyalty even i didn t loyal to him
W339,0,i feel envious and embarrassed
W340,0,i could feel the frantic need in him the need to make me his
W341,1,i feel so tranquil right now its great
W342,0,i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other
W343,0,i thought we were going to talk and try and work at things so i was shocked to find out steve had decided he wanted to be on his own the thing that broke me was the feeling of been unloved
W344,0,i wouldnt have beared witness to the incredibly well spoken bouncer making an emo kid feel completely unwelcome
W345,0,i tend to stop breathing when i m feeling stressed
W346,0,i was a smoker for years and quit weeks ago right after i finished your book and i cant believe how free i feel i knew that i had to quit but i was terrified of my life without cigarettes
W347,1,i will go to my mailbox and talk to the mailman then the grocery clerk etc but no matter how small the step or how limited the risk a complete and total willingness to experience whatever thoughts feelings and sensations emerge is important
W348,0,i am already feeling frantic
W349,1,i feel like this insecurity is a good thing when i first started writing i pictured it all
W350,0,i should feel complimented or insulted
W351,0,i crave as i fall into submission and i did not feel submissive in the least
W352,1,i feel tender just now and i am fine with that
W353,0,i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber
W354,0,i made it to work but i am feeling a little groggy
W355,1,i want to love you but i feel like there some sort of hindrance thats keeping me from loving you
W356,1,i feel is that they are fond of themselves and ok second thought really sensitive to spelled everything here
W357,1,ill get round to it this quarter im feeling hopeful about this one
W358,0,im starting to feel unwelcome in life and some people can already tell this
W359,1,i feel absolutely fantastic and i hope baby does too
W360,1,i watched the snow fall and accumulate on the conifer trees while i was shoveling in my shirt sleeves and feeling vigorous
W361,0,i feel bitter and just honkerblonked off in general
W362,1,i have a feeling that your father already convinced him of that
W363,1,i love and feel passionate about i m living my dream and now that i ve gotten a taste of what that feels like nothing can stop me
W364,1,i play in the rain squeal with glee at the feeling of mud squishing between my toes and enjoy pretty much anything that takes place outdoors
W365,1,i am feeling humorous i put cold callers on hold
W366,0,i just busy myself with other stuffs but never with blogs or threads that will only make me feel miserable
W367,1,i feel very privileged but it is also a lot of work
W368,1,im pretty happy but a little on the nauseated side to feel thrilled
W369,0,i close my eyes i can hear the pitiful wailing sounds of my own cries taste the salty taste of my tears and feel that anger and hurt saturating my heart
W370,0,im sure that the folks in virginia florida and the other handful of swing states agree feel not only put upon but insulted by the constant barrage
W371,1,i feel like im putting an innocent man on death row
W372,1,i wasn t sure what else to do to help her feel smart
W373,1,i begin to feel that every waking moment is devoted to work
W374,1,i feel is thankful for the lessons i m learning
W375,1,i feel such a longing and sadness when i see families with more children than i have
W376,1,i feel distinctly called in clermont to focus on these little ones that seem naughty
W377,1,i hope you can feel glad that she gave you so many things including memories that you can cherish
W378,0,i am feeling pretty worthless right now
W379,1,i feel some of my projects are clever and useful enough i figured i would start sharing them on instructables so i wrote my first one this weekend
W380,0,i had continued to think along those lines i probably would have done the dishes in anger and when he got up wed have had a fight about that with me feeling completely abused
W381,0,i didnt feel especially nervous in finland but when we landed in paris i was a little unsure about what would be ahead of us thought st grade student janne suominen
W382,0,i do feel envious of those with kids at certain moments
W383,0,i was feeling like a pretty crappy mom
W384,0,im feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week
W385,1,im not scared at all anymore im fine i feel terrific about the surgery
W386,0,i still feel vulnerable around him
W387,1,i feel when you are a caring person you attract other caring people into your life
W388,0,im then left feeling quite embarrassed as i say that nothings new
W389,0,i feel unwelcome and out of place buti cant decide if i am just too scared to do anything about this ok situation or if i am staying here in this dead end situation because i am afraid things will get worse
W390,1,i may or may not have cried when thanking them for making my children feel so special and loved
W391,1,i feel like shes losing her sense of self to adapt to what she thinks he will be loyal to
W392,0,i feel burdened for several loved ones and i miss my big kid whom i havent seen since friday
