Text,Actual Label,Predicted TF-IDF,Predicted VADER,Predicted BERT
feel determined even nervous unknown future perhaps even bit thrilling,1,0,1,1
decide whether go low hung low slung feel free leave preference comment aware moved death embalming,1,0,0,0
also feeling prompting offer comment exactly going troubled world lead regarding time finding,0,0,0,1
think sleeping good since ive feeling sleep deprived summer,0,0,1,1
equally feel relieved hardcore supporter post anything big social medium done would undergo plastic surgery change name today hide face,1,1,1,1
need thing feel important child know,1,1,1,1
feel like need tortured soul order create word whatever,0,0,1,0
must say wonderful feeling make feel submissive,0,0,1,1
feel drop sweat break forehead contemplate anything taking anything taking everything cool reactor,1,1,1,0
tried reconcile two feeling one piece music unease tender nostalgia present martin song wwii france different sharp bleeding ache feeling,1,1,0,0
dont know feel way live la id rather somewhere else im stressed money work im need hug,0,0,1,0
feel like going living rich sustained life throughout year due work,1,1,1,1
feel like im gon na greedy cuz love much,0,0,1,1
ive started delve deep evaluate everything made feel insecure unworthy,0,0,0,0
actually going point point b feel casual like every night pretending,1,1,1,0
feel heartbroken worried wicked headache,0,0,0,0
really dont think look blog often feel pretty safe posting layout full href http www,1,1,1,1
id really hop quickly knew theyd cry yell didnt get quickly also knew scott feeling rotten,0,0,0,0
im feeling generous word,1,1,1,1
guess im feeling useless pointless,0,0,0,0
feel overwhelmed think country suffering,0,0,0,0
feel like youre ashamed seen public im bigger,0,0,0,0
also feel proud,1,1,1,1
feel like see bitter end thats im going,0,0,0,1
ive avoided thinking feel hurt thinking,0,0,0,0
able help chai lifeline support encouragement great feeling glad able help,1,1,1,1
always feel bit personally assaulted,0,0,0,0
feel unloved remind love,0,0,1,0
read book feel sure one man moon least,1,1,1,1
email author interview feel little intimidated,0,0,0,0
feel really glad dont look like celebrity beautiful told dr,1,1,1,1
feel quite convinced phenomenal state really distinct material going inside body,1,1,1,1
feel absence herb especially craving delicious homemade soup,1,1,1,0
workout every morning feel fabulous,1,1,1,1
feel option violent probably costly yet equally futile whats problem keeping men woman harm way,0,0,0,0
look back moment writing life feel bit ashamed part want wrap everything theory series pack story idea call day,0,0,0,0
really dont like whole harvest time feel im keen spending time morning attempting style hair completely ruined within minute walking outside damp air,1,1,0,0
regret feel positive mediocre book think thats unfair detrimental book actually really liked gave similar rating review,1,1,1,0
hope didnt get feeling didnt want make feel bad bringing,0,0,0,0
feel one divine intelligence life see creative expression everywhere,1,1,1,1
dream jeannie could still feel violent grip hand shoulder,0,0,1,1
feel nervous anxious dont know,0,0,0,0
im necessarily sure something education system must change student feel anxiety pressure needing flawless vast knowledge world,1,1,1,0
feel lucky nominated liebster award,1,1,1,1
feel like mother expense productive,1,1,1,0
breaking skin feel like pleasant,1,1,1,0
im feeling ugly lately,0,0,0,0
dont really know im bothering homework get feeling vain,0,0,0,0
feel strategy worthwhile,1,1,1,1
im feeling restless today,0,0,0,0
im feeling slightly triumphant virtuous even whole five day without drop looking difficult excess festive season friend actually stayed wagon whole festive period level fortitude say really truly deeply admire well done,1,1,1,1
feel like babysitter year old act like naughty year old,1,1,1,0
much enjoyed build air suspense confusion throughout cant help feel dissatisfied ending,0,0,1,0
even feel like im learning something entertained there even bibliography back anyway im even done first one yet ive already ordered two,1,1,1,1
id gotten past whole oh gawd im humiliated didnt feel humiliated,0,0,0,0
find smiling feeling towards almost feeling affectionate towards,1,1,1,1
feel blessed know immense family supporter continue comfort,1,1,1,1
im super annoyed cause hurt time cause cant complete manicure feel like hand pretty kind scared long take heal nail grow stick finger,0,0,1,0
feeling resentful enough want write mean need work look getting hackle raised others judge,0,0,0,0
would already begin feel calm think one drink worked,1,1,1,1
feel rejected unwanted,0,0,0,0
feel excited graduated kind lifestyle well time cafe going open soon think coffee shop job work well already fixed think youll soon,1,1,1,1
feel aching inside,0,0,0,0
feel like hated since,0,0,0,0
im sick feeling crappy,0,0,0,0
could feel getting weepy strangely left axilla also ached,0,0,0,0
feel hopeful already taking important action make necessary important change actually make effective change make soon,1,1,1,1
never feel bad spending money people spend,0,0,1,0
feel like already read every clever profile seen every picture importantly gone first date every guy okc eharmony match etc,1,1,1,1
get feeling doesnt really want talk im hesitant,0,0,0,0
bought make palette two month back post today bought item im feeling ecstatic,1,1,1,1
almost walked snake,0,0,1,0
still feel amorous,1,1,1,0
feel socially anxious around lady,0,0,0,0
ive got feeling yesubais story set everything happens world im hopeful horrible thing go brings around kind goodness,1,0,1,1
feel lucky live portland land delicious food,1,1,1,1
know im still feeling effect rich dinner sweet treat,1,1,1,1
feel fearless future,1,1,1,1
feel really successful fact read series book summer actually counted challenge finishing six total series,1,1,1,1
think must continue seek good even feel offended always look way go lower walk humility jesus walked,0,0,0,1
way ski slope difficult steep,0,0,0,0
feel blessed free,1,1,1,1
im feeling every bit spiteful vindictive bitch time,0,0,0,0
like lot person cant help feeling le dream job shes sociable shes combat trainer,1,1,1,1
read friend good news unexplained feeling melancholy,0,0,1,0
feel honoured able call friend share brotherhood,1,1,1,1
im feeling annoyed add dont feel important whatever shit anymore,0,0,0,0
feel thrilled move would hope eventually build superbike cbs sportsline irl expands race three,1,1,1,1
surround bible verse help transcend space feel safe secure,1,1,1,1
heard treatment friend jail really inhuman never realised thing also happen netherlands,0,0,1,0
thing christ give strength lovely little verse repeat im feeling little unsure something,0,0,1,1
started feeling little melancholy think holy spirit must come given hand feel like understand situation better half hour ago,0,0,1,1
didnt feel inhibited journal tell isnt going read,0,0,1,0
feel like im talented enough really deliver line make listener hear,1,1,1,1
love running feel strong powerful totally control,1,1,1,1
beginning think cut rank frugal antic improv challenge beginning feel bit insecure first entry last month,0,0,0,0
sudden feeling missed opportunity could asked evening going,0,0,1,0
get close feeling like dance putting music motion together similarly creative way,1,1,1,1
feel back onto bed caring stinging eye,1,1,1,1
feel relaxed sleep,1,1,1,0
feeling shaky weak light headed starting yesterday morning woke breathe properly matter many deep breath took felt enough oxygen going,0,0,0,0
ive cleaning apartment trying get life back order vacation holiday mayhem instead feeling grumpy like usually would feeling overwhelmingly blessed,0,0,1,1
make laugh loud feel keen sense accomplishment,1,1,1,1
think bit better today although still feel like run truck cough remarkably stubborn particularly try speak,0,0,1,1
feel hesitant talking,0,0,0,0
believe lot girl feel way especially feeling really low,0,0,0,0
feel pleased resist till get next four night shift,1,1,1,1
ran mile old custom orthotics still feel fine tonight,1,1,1,1
seem feeling little le anxious week sure wish could check every week doctor instead scheduled,0,0,1,1
talk lot majority time spent work work feeling generally unhappy lonely frustrated even little bitter past event go away,0,0,0,0
remember going shandur highest polo ground world located north western pakistan feeling helpless signal post facebook status tweet marvelous surroundings,0,0,1,0
feel discouraged im never going get good schedule another big life change going happen,0,0,0,0
feel like every day grow stronger become le needy someone fill role,0,0,1,1
sometimes feel inadequate mother feeling like im failing still second guessing parenting skill,0,0,0,0
woke feeling disturbed,0,0,0,0
feeling lil groggy cough medicine,0,0,1,0
feel like need keep pinching sure ti real,1,1,1,0
remember feeling completely hopeless wondering heck even miss idaho woman totally different league,0,0,0,0
would ideally like able come term one point acim happily integrated abraham process feel resolved,1,1,1,1
feel victimized like im getting robbed,0,0,0,0
think freedom make plan another person time feel content,1,1,1,1
went exam could feel heart sink unsure answer flip flop decision random guess,0,0,0,0
measuring week big enough make feel lousy,0,0,0,0
love wispy feeling delicate strand mellow green vibe,1,1,1,1
feel look gorgeous beautiful sexy,1,1,1,1
aware many personal reason feel le fond shall say prince suppose human wish make point abundantly clear,1,1,1,0
cant help feel helpless,0,0,1,0
read appreciate comment left question concern feel free email contact,1,1,1,1
finally found afternoon wear feeling like vicious lurker,0,0,1,0
feel frightened citizen india honest performance neither recognised appreciated,0,0,0,0
feel like really sure everything leading look like boob misrepresent thing,1,1,1,0
know almost feeling angry within something tangible pragmatic help sister,0,0,0,0
feel like im going way successful writer,1,1,1,1
feel terribly neglectful blog,0,0,0,0
im feeling pretty freakin fab,1,1,1,1
used feel rejected like fault overweight,0,0,0,0
suddenly feeling energetic,1,1,1,1
feel ashamed youre perfectly fine granting,0,1,1,0
understand show expensive show ever done anyone think making profit um need feel sympathetic towards u,1,1,1,0
feel awkward v already asserted,0,0,0,0
know still feel unpleasant,0,0,0,0
always feel delighted know many people inspired love old fashioned graphic illustration,1,1,1,1
think noticing prone feel jealous right helping show bit intentionality time life,0,0,0,0
obviously youtube blog ton like feel ok managed nice organized way,1,1,1,1
feel impatient stop body giving positive response,0,0,1,1
didnt feel real emotional connection much character driven story,0,0,0,0
doubt anybody find black white solution definitely put new level understanding happening border right make anyone hurling epithet immigrant child feel ashamed doubt,0,0,0,0
feel like bit rushed,0,0,1,0
drunk feel fab,1,1,1,1
never feel like perfect sometimes lean little heavy work mean chaos home sometimes lean little heavy home mean get little lonely cranky,1,0,0,0
feeling nostalgic celebratory,1,1,1,1
feeling shaky,0,0,0,0
ill start one interlochen see jonathan boy asked freak used like realized stupid sang recording feel regretful whole ordeal yeah,0,0,0,0
happy report able get mile minimal pain iced afterwards im feeling ok,1,1,1,1
feel director editor missed teachable moment tiphany make comment nice feel like everyone else,0,0,1,0
continue cruise along expressway feeling shitty,0,0,0,0
feel mcraven ut sure div class g plusone data size medium data href http wilcfry,1,1,1,0
wonder jealous feeling discontent covetousnes,0,0,0,0
feel sad know much miss entire powell clan,0,0,0,0
still feel worthless deep inside,0,0,0,0
feeling pretty smug denise justquiltn started stick string way get unfinished knitting project finished,1,1,1,1
im feeling disillusioned right,0,0,0,0
realised karin producing book u feel keen worry time,1,1,0,1
feel popular blogger dont post freedom anymore always part control rare exception blog love aesthetic,1,1,1,0
look upon one main reason wherefore guy feel one rich crazy ableness jerk breed woman see whenever look forward television indulgent medium,1,1,0,0
feel like feel guilty treating badly dont really want go back wont get league proper anyway due inability make every practice service hour despite good skater good attitude toward practice make,0,0,0,0
macendarfer feel thrilled welcome family,1,1,1,1
feel irritable guess classic symptom depression,0,0,0,0
know feel successful writing blog sweatpants baby sleep commuted train ferry business card pocket armani blazer,1,1,1,1
feel bedroom rocker hardcore music buff like smart traditional look feel headphone,1,1,1,1
go home feel empty,0,0,0,0
would spend hour prepping meeting supervisor feeling convinced nailed,1,1,1,1
feeling tad lonely absence,0,0,0,0
feeling terrific morning day sickness left,1,1,1,1
feel tender fine,1,1,1,1
need tell someone feel gorgeous,1,1,1,1
feel lucky wife hope opportunity remind every day,1,1,1,1
ill feel troubled trivial matter,0,0,0,0
stop feeling mad stop behaving like,0,0,0,0
feel learning purpose working universe continue evolve transcend productive along journey,1,1,1,1
feel like thing getting little overwhelming spritz toner really help calm soothe,1,1,1,1
set mind wanting specific item needing specific event specific time find ill end spending want feel pressured constraint,0,0,0,0
feel fucking tragic,0,0,0,0
want feel resigned typically american life know lot others happy either,0,0,1,0
im still using blogger follow blog like livejournals feature enabling private post keep one journal without feeling inhibited writing thing dont want publish net,0,0,1,1
perceive feel grieve together dint pity gracious drop,1,1,0,1
lauper start line time time would sing going memory lane feeling nostalgic,1,1,1,1
thought made room feel playful kid friendly,1,1,1,1
started feel homesick first time life even though lived abroad year,0,0,0,0
feel totally carefree around,1,1,1,1
feel pretty shy right dont know,0,0,1,0
ive feeling bit pressured there little time left two book,0,0,0,0
feel insecure way examine boyfriend exempted,0,0,0,0
feel reluctant keep going drew focalors sigil black opium incense stick wall grabbing wooden part pulling incense part back slightly allowing smack wall leaving black powder line meditated,0,0,0,0
im feeling little romantic,1,1,1,1
feel sure night remember,1,1,1,1
get feeling weepy sometimes get resentful,0,0,0,0
feel festive christmas week,1,1,1,0
remember wearing dress feeling fabulous looking fabulous announcing good news many friend whilst wearing dress,1,1,1,1
feel depressed lack husband time,0,0,0,0
however feel loss officer nicholsons life tragic death young mother whose murder started whole scenario motion,0,0,0,0
tell people feel like trying convince people innocent one belief,1,1,1,0
feel stomach aching grumbling,0,0,0,0
never seem get good foot feel crappy,0,0,0,0
good idea post feeling low write,0,0,1,0
im feeling stressed upcoming event drowning feeling overwhelmed much need order get house back order long week ahead husband town,0,0,0,0
feel fearful,0,0,0,0
believe newborn photographed head full dark hair feeling little envious baby bald blonde come,0,0,0,0
always feel bit triumphant find gift youngest brother movie video game anything similar two,1,1,1,1
im starting learn feeling awkward isnt bad thing feeling awkward isnt sort social disorder,0,0,1,1
beginning feel almost jaded backpacking guess endless bouncing around title comfort v cash backpacker struggle overland travel href http www,0,0,0,0
feel terrible writing little there anything else report,0,0,0,0
im also pretty close exiting window feel like make look freakishly neurotic,0,1,1,0
like make feel control since went stage caring diabetes checking level really want feel like,1,1,1,0
feel shy cause realized people behind didnt dance look u gt,0,0,0,0
feel little brave venture comfort zone kitchen,1,1,1,1
feel juggling fine detail go professional writing career,1,1,1,1
feel like prom dress gorgeous exist five year ago,1,1,1,1
feel paranoid thinking looking window feeling insomnia creep,0,0,0,0
know personally feel like staying bed sleeping hour day never working life maybe eventually taking hot yoga zumba lame housewife esque passion,1,1,1,0
feel like people brave enough speak non standard self publishing market author know work damn hard deserve better,1,1,1,1
feel melancholy running vein well,0,0,0,0
started secondary school age every night would cry lose sleep thought school next day wasnt usual feeling oh cant bothered school,0,0,0,0
hate living dad roof give excuse asshole he providing live think feel need make feel unwelcome possible ill leave,0,0,0,0
feeling compassionate time though ive tissue thought form compassion lol asking around cant stand look face ah,1,1,1,0
feeling bit agitated stressed find surprising amount relief cleaning decluttering house even small space like closet,0,0,1,1
feel like rest season continue successful like freestone,1,1,1,1
ive stamped old relationship feeling like distance time apart would cause people forget somehow give enough reason stop caring,1,0,1,0
admit feeling pace heat glad blind beautiful next could catch breath,1,1,1,1
still miss feel rather weepy today,0,0,0,0
remember feeling impatient even struggling like time,0,0,0,0
feeling naughty thebalm nude tude naughty palette href http,1,1,1,0
feel like could gotten apprehensive reason,0,0,1,0
got shot many likely angle could feeling like moronic tourist deciding care,0,0,1,0
perceive feel dint pity gracious drop,1,1,1,1
ended perfect studio walk feel aggravated yes bizarre,0,1,1,0
didnt feel accepted family member relationship church family made,1,1,0,0
feel im doomed fail upcoming global regent,0,0,0,0
afraid feeling helpless,0,0,0,0
people really dont many proplems talking feel said love bitched last month vain,0,0,0,0
feeling kinda discouraged stuck today proved thing didnt think could,0,0,0,1
feel kind ashamed write thing like sat couch watched antm marathon,0,0,1,0
feel tinge melancholy around labor day weekend,0,0,0,0
desperate save feel anything yet skeptical consider chemo told radiation oncologist initally well internist nasal sarcoma chemo sensitive,0,0,1,0
struggled come interesting title blogpost lipbalms feel people would consider boring subje,0,0,0,0
verge tear feeling depressed unhappy useless feeling like wasted life see future happiness,0,0,0,0
feel dumb witted feel like dont understand answer towards,0,0,0,0
feel ungrateful thing regularly sin daily everyday living,0,0,0,0
cant help feel im sorry,0,0,0,0
feel christmas special ever,1,1,1,1
feel honored humbled turn event,1,1,1,1
feel oddly nostalgic early day still figuring thing,1,1,1,1
starting feel drained,0,0,0,0
tell feel oddly vulnerable disjointed like dont want come play lot time,0,0,0,0
wanted sacred experience feel divine communion god understanding wanted feel sublime love sacred term,1,1,1,1
almost feel confused character honestly say actually thing going pretty well,0,0,1,0
venture back north big day feeling festive,1,1,1,1
started feel irritated feeling,0,0,0,0
ive still feeling good enough greater,1,0,1,0
feel like designer shy away using color kitchen love julia incorporated bright splash orange blue green throughout space,0,0,1,1
never feel accepted go step first publisher keeping track time spent ministry trying get member,1,1,0,0
would much like come back quieter time perhaps im feeling bit brave maybe night,1,1,1,1
feel ecstatic despite tired,1,1,1,1
almost feel delicate heart breaking,1,1,0,0
feel stressed intention remain control feeling,0,0,0,0
arrived anchorage took hour spending time parent eating local favorite joint going stroll parent childhood neighborhood able take big sigh feel relieved,1,1,1,1
listening belle sebastian feeling agitated,0,0,0,0
feel strongly way eat cornbread sweet cornbread butter honey dripping piece,1,1,1,1
feel homesick near end last week thailand,0,0,0,0
really want someone hold kiss make feel loved safe,1,1,1,1
feel resentful hurt much also grateful said including disco swimming even taking stair,0,0,0,1
feeling pretty cranky called garage door guy morning said scheduler wasnt husband massive heart attack weekend he okay couldnt give time repairman call come,0,0,1,0
able write full letter insular minuscule probably never skill xviith century writing master maria strick jan van den velde feel learning craft worthwhile effort,1,1,1,1
feel better,1,1,1,1
im feeling bit melancholy reason im going post hopefully discovery old thought goal help align focus bit,0,0,1,1
reached feel strange sensation felt something,0,0,0,1
feel helpless yet motivated something,0,0,1,0
irritated knew wasnt pregnant wasting time feeling lousy reason,0,0,0,0
im feeling wildly supportive swallow tension every single five year old know know letter know backward,1,1,1,1
feel envious proud time possible feel way,0,0,1,1
im feeling tad bit gracious,1,1,1,1
feel loss beloved dog chewie,1,1,1,0
im afraid im bipolar feel much like like kid hated th grade kid nearly drove suicide first time life,0,0,0,0
feel like everything make mistake punished,0,0,0,0
im feeling bit listless weekend hell good point also im glad time wind,0,1,1,1
hope something magical happens today im feeling kind listless,0,0,1,1
feel cold,0,0,1,0
sympathize person also feel bit skeptical theme loss everyone loos,0,0,0,0
im moving forward feeling optimistic first time month,1,1,1,1
consistently ask especially feeling low doubt future,0,0,0,0
feel dismayed still load miniature term weird pink clay left didnt know,0,0,0,0
apologize anyone may feel neglectful slacker mcslackerson,0,0,0,0
feel putting brave face fuck let get real,1,1,0,0
id use level would make job feel worthwhile season basically half long,1,1,1,1
woke today feeling pissed,0,0,0,0
im back feeling fine running,1,1,1,1
feel world expects one productive individual sunny day resist tend productive rainy day,1,1,1,0
feel im much productive get le distracted feel much accomplished,1,1,1,1
feel arsenal could clearly superior,1,1,1,1
feel quite content right mean nothing amazing happened stupid frenh competition im sure shit tutor dontt know feel ok,1,1,0,0
ive thinking maximize potential know make wee apartment spacious feeling glamorous flat,1,1,1,1
feel compassionate toward body new limitation need become accustomed time take middle age aging,1,1,1,1
make effort ask jason friend question include conversation make feel like considerate person feeling get often,1,1,1,1
feel quite disappointed sucked charade,0,0,0,0
feeling somewhat indecisive want celebrate anniversary,0,0,1,0
feel privileged part world,1,1,1,1
feel burdened several loved one miss big kid havent seen since friday,0,0,1,0
wonder feel angered disappointed million people one morning,0,0,0,0
feel frustrated sad,0,0,0,0
really feel regretful hearing shinae got married another man oh really sad really hope alex shinae couple real life perfect,0,0,1,0
consider homeschooling unless feel exhausted every option homeschool temporary child participate non homeschooling activity much possible,0,0,0,0
liked ending feel like little bit rushed,0,0,1,1
understand even towards end start going outside feel like never truly happy,1,1,0,0
feel gorgeous boyfriend throw wall toilet cubicle,1,1,1,0
im really bashing gw hobby people try hard focus subject feel passionate want spend time right,1,1,1,1
ive found made huge difference especially finger ring skin feel much softer le irritated,0,0,0,1
think like australian know image well interesting see feel yes lovely kay going view sunrise,1,1,1,1
ive found make simple mistake really screw feel foolish guilty like never,0,0,0,0
im feeling bitter knight shining denim asked year ago go gym wouldnt spend money,0,0,0,0
whoop holler unless special occasion going feeling suitably jubilant tad proud came somewhat constipated yhhhay,1,1,1,1
hate complaining time scary feel alone,0,0,0,0
feel honored kind support,1,1,1,1
feel cool reading book especially take along read waiting doctor appointment,1,1,1,1
feel totally confident could get job google,1,1,1,1
feel honoured become journalist blog dedicated amazing song contest eurovision,1,1,1,1
wonder feel like reluctant leader,0,0,1,0
feel mush freeer le repressed,0,0,0,1
im destashing couple cut fabric id bought make clothing sat around feeling unloved,0,0,0,0
know day feel distracted,0,0,0,0
hate expectation must need man life feel worthwhile valued,1,1,1,0
felt towards dad growing think eerily parallel feel towards romantic interest,1,1,1,1
found make time quiet reflection even pause chaos feel god peace gentle comfort,1,1,1,1
ive feeling awful lot lately,0,0,0,0
realised longer truth merely truth remembered began feel disheartened,0,0,1,0
feel thrilled share fan lot song inspiring,1,1,1,1
feeling peaceful yet determined listen slight humming noise ceiling fan,1,1,1,1
feel pained people making kind statement,0,0,1,0
feeling soooooooo giggly,1,1,1,1
feel unimportant right like worth time people waste tried happy seem like something wrong come back realization something wrong feel like worthless,0,0,0,0
tackle political idea something make feel angry even often personal,0,0,0,0
feel like missed opportunity wear cape run,0,0,1,0
feel distraught ever,0,0,0,0
feel virtuous walked library almost mile away temp,1,1,1,1
im feeling horny dead goat,1,1,0,0
left feeling like greedy bastard hate,0,0,0,0
feel empty inside iphone wallpaper mobile wallpaper href http www,0,0,0,0
revise reply mind make sure reply sound appropriate enough person receive reply feel offended,0,0,1,1
go gym many time last spring kind got used feeling neurotic neurotic feeling kind went away,0,0,1,1
feel kind heartless,0,0,1,0
woke feeling hopeful,1,1,1,1
really carry grudge long time feel wronged hurt someway whether aware,0,0,0,0
feel joy anticipation divine right,1,1,1,1
gained lb back feel terrible,0,0,0,0
feel especially passionate friendship support network enjoy part woman ministry befc today,1,1,1,1
really feel innocent kid taught unconscious racism taught overt racism choice follow,1,1,0,0
suppose thats feel melancholy whole thing,0,0,0,0
feel like explorer life radiant woman photography href http lightsync,1,1,1,1
never pleasure meeting feel like know popular weekly newspaper column ridgerunner report jim solberg,1,1,1,1
cant help feel like im something dirty,0,0,0,0
feeling low lately feeling hopelessness disturbing making tired sick entire living kind life,0,0,0,0
really could feel thing felt slightly annoyed nurse every time pushed kept saying thing like incredibly strong woman strong strong,0,0,1,0
feel totally disillusioned med school london especially uni,0,0,0,0
caught thug aged,0,0,1,0
im feeling bitchy hell tonight,0,0,0,0
felt true forgiveness come feel longer victimized heal within,0,0,1,1
feel like sweet carby yet low glycemic meal breakfast often dessert,1,1,1,1
feel hesitant unsure doubtful,0,0,0,0
woke today totally text feeling pretty gloomy first precious idiotic called cheered,0,0,1,1
feel like woman respected time therefore made right decision said,1,1,1,1
noticed symptom coming back sleeping eating feeling lethargic temper le around house,0,0,0,0
im really feeling hot comfort food week,1,1,1,1
feel virtuous going spin class driving way blackburn manual unsupervised sucessfully handbrake starting,1,1,1,1
go said feeling paranoid lol,0,0,1,0
discovering good friend lied,0,1,1,0
feel like fucked massively able fight suicidal,0,0,0,0
never feel insincere little nosy get hint something might wrong want jump get detail,0,0,0,0
play rain squeal glee feeling mud squishing toe enjoy pretty much anything take place outdoors,1,1,1,1
love get dress feel glamorous year,1,1,1,1
ive known person miserable year im still feeling pretty shaken,0,0,1,0
always feel dirty used,0,0,0,0
im feeling le thrilled go back second choice donor mr,1,1,1,0
want feel worthwhile,1,1,1,1
feel pathetic time,0,0,0,0
feel little stressed lost waiting idea come,0,0,0,0
feel justify behavior faithful blog reader,1,1,1,0
sorry amma made feel bad honest,0,0,0,0
entered temple feeling vaguely terrified,0,0,0,0
im feeling sort lame lonely,0,0,0,0
know feel way losing someone feel like member family heartbroken,0,0,0,0
get making excuse man big boy staff walked away red rooster feeling dissatisfied underwhelmed confused,0,0,0,0
throw better ill feel heck im paranoid tree brach right jumped chipmunk crossed path went walking today,0,0,0,0
feel excited family future,1,1,1,1
feel little glad others hard time,1,1,1,1
im feeling rotten talking,0,0,0,0
begin feel even agitated realize keith detoured tourist stop another small mountain village way xela,0,0,0,0
im pretty sure fact im dealing hyperemesis enough sleep feeling irritable,0,0,1,0
ive feeling restless home day probably cooped school home way long,0,0,0,0
want birthmoms feel confident made right decision,1,1,1,1
really didnt feel like running saturday decided make sure got mile june,1,1,0,0
feel beaten constant anxiety frustration looking word constantly disappointed,0,0,0,0
get intrusive thought mostly violent one sometimes sexual sexual one make feel really agitated pleasant whereas violent one tend bother,0,0,0,0
feel angry selfish giving absolutely nothing go,0,0,0,0
cant blog im feeling inspired blog lose inspiration,1,1,1,0
feel honoured look forward time apron,1,1,1,1
feel stressed venture photograph nature form lift spirit,0,0,0,1
know feel feel absolutely terrified overwhelmed desire like cry drink beer prey maybe find way make lyric work within thought process,0,0,0,0
think often feel way planting deeply terrified go deep ground hard get,0,0,0,0
feel doomed failure,0,0,0,0
spend time dating attempting date end feeling confused,0,0,0,0
feel repressed emotion surfacing im glad solace seek writing,0,1,1,1
feel tender,1,1,1,1
refuse feel guilty,0,0,0,0
love photographing gorgeous family love feel strong radiates around,1,1,1,1
turning feel pathetic still waiting table subbing teaching degree,0,0,0,0
feel effect backfire change distracting solondz talented enough gain sympathy sans gimmick,1,1,1,0
really feel unfortunate person carrry,0,0,0,0
feel pathetic way get sympathy,0,0,0,0
im really happy pregnancy support would recommend anyone who really feeling like suffering back abdomen ache pain pregnancy,0,0,1,1
feeling two many oh well,1,1,1,0
feel insecure unsafe,0,0,0,0
